Time,Flow,Stage
2015-06-17 15:00:00,561553.1102916282,32.45
2015-06-17 16:00:00,542320.2696823686,32.4
2015-06-17 17:00:00,557339.352900063,32.48
2015-06-17 18:00:00,559956.5092995217,32.6
2015-06-17 19:00:00,556635.8437043611,32.66
2015-06-17 20:00:00,549231.9448223354,32.64
2015-06-17 21:00:00,551965.259275944,32.64
2015-06-17 22:00:00,565553.991267543,32.78
2015-06-17 23:00:00,562263.2218939614,32.88
2015-06-18 00:00:00,558891.2843956188,32.9
2015-06-18 01:00:00,558823.9336597996,32.93
2015-06-18 02:00:00,554042.1046301102,32.9
2015-06-18 03:00:00,569400.245259282,33.03
2015-06-18 04:00:00,546693.9924425167,32.94
2015-06-18 05:00:00,558047.2583671769,32.93
2015-06-18 06:00:00,578558.7143866642,33.15
2015-06-18 07:00:00,574680.4431708888,33.32
2015-06-18 08:00:00,559058.7438447839,33.28
2015-06-18 09:00:00,559422.1355801728,33.24
2015-06-18 10:00:00,571102.5858768343,33.33
2015-06-18 11:00:00,557301.6898618253,33.29
2015-06-18 13:00:00,589562.7057182427,33.53
2015-06-18 14:00:00,567191.0581532891,33.57
2015-06-18 17:00:00,592699.0199048764,33.79
2015-06-18 18:00:00,576034.0904948161,33.86
2015-06-18 20:00:00,576748.3727835092,33.89
2015-06-18 21:00:00,580896.2147538018,33.96
2015-06-18 22:00:00,581286.8619717822,34.04
2015-06-18 23:00:00,580419.3509439968,34.09
2015-06-19 00:00:00,586019.3500450433,34.18
2015-06-19 01:00:00,580997.1452931293,34.21
2015-06-19 03:00:00,592123.3972984677,34.34
2015-06-19 04:00:00,584374.7259999597,34.39
2015-06-19 05:00:00,596767.6328240711,34.52
2015-06-19 07:00:00,599648.8074596416,34.69
2015-06-19 08:00:00,595348.1834277265,34.77
2015-06-19 09:00:00,600250.2531128793,34.88
2015-06-19 10:00:00,604007.7912149939,35.01
2015-06-19 11:00:00,605138.9238967284,35.14
2015-06-19 12:00:00,615740.957136302,35.34
2015-06-19 13:00:00,611256.3253616196,35.47
2015-06-19 14:00:00,600407.0979565645,35.46
2015-06-19 15:00:00,612181.2016345207,35.55
2015-06-19 16:00:00,607202.2950961213,35.61
2015-06-19 17:00:00,609387.7338429284,35.66
2015-06-19 18:00:00,614877.3271034278,35.76
2015-06-19 19:00:00,602040.7358907892,35.74
2015-06-19 20:00:00,623273.8770741058,35.89
2015-06-19 21:00:00,604540.7382139456,35.88
2015-06-19 22:00:00,608360.0982340932,35.86
2015-06-19 23:00:00,634058.6522086532,36.1
2015-06-20 00:00:00,612235.3602030888,36.14
2015-06-20 01:00:00,611592.2541902888,36.1
2015-06-20 02:00:00,624209.0929533055,36.21
2015-06-20 04:00:00,619543.77073986,36.28
2015-06-20 05:00:00,610685.4319488644,36.24
2015-06-20 08:00:00,623273.6305297799,36.3
2015-06-20 10:00:00,616690.0459266797,36.33
2015-06-20 11:00:00,627022.0992305843,36.42
2015-06-20 13:00:00,611672.5057508623,36.38
2015-06-20 14:00:00,629856.1692189636,36.48
2015-06-20 15:00:00,616406.2804932281,36.48
2015-06-20 16:00:00,636262.5473226281,36.62
2015-06-20 17:00:00,614187.123652841,36.58
2015-06-20 18:00:00,629438.4822723131,36.64
2015-06-20 19:00:00,613154.8683361774,36.58
2015-06-20 20:00:00,627958.4101372852,36.63
2015-06-20 21:00:00,628259.1442252316,36.66
2015-06-20 22:00:00,612867.6641031719,36.63
2015-06-20 23:00:00,617317.7356720079,36.58
2015-06-21 00:00:00,619821.9796867874,36.58
2015-06-21 01:00:00,655207.7560850899,36.84
2015-06-21 02:00:00,611810.3543916463,36.78
2015-06-21 03:00:00,630514.3443284559,36.8
2015-06-21 05:00:00,622213.7596031365,36.81
2015-06-21 06:00:00,632728.1350848763,36.87
2015-06-21 07:00:00,608149.8643466398,36.78
2015-06-21 08:00:00,617972.9204763405,36.73
2015-06-21 09:00:00,613142.0691914491,36.67
2015-06-21 10:00:00,623217.0135446122,36.68
2015-06-21 11:00:00,658127.8480734939,36.94
2015-06-21 12:00:00,612493.9085265526,36.87
2015-06-21 13:00:00,637352.8709467385,36.91
2015-06-21 14:00:00,599819.8758452768,36.79
2015-06-21 15:00:00,646089.4252745103,36.85
2015-06-21 16:00:00,610304.2118234447,36.82
2015-06-21 17:00:00,637046.0288158422,36.85
2015-06-21 18:00:00,598642.5981196077,36.7
2015-06-21 19:00:00,618944.0015838948,36.66
2015-06-21 20:00:00,627457.8130913969,36.72
2015-06-21 21:00:00,628813.246126278,36.76
2015-06-21 22:00:00,607250.729550153,36.69
2015-06-21 23:00:00,622711.2953764659,36.67
2015-06-22 00:00:00,611367.8587643737,36.6
2015-06-22 01:00:00,622576.3870472483,36.6
2015-06-22 02:00:00,635338.7685140708,36.71
2015-06-22 03:00:00,605560.6432122987,36.64
2015-06-22 05:00:00,605533.5405883952,36.47
2015-06-22 07:00:00,625819.5538369397,36.54
2015-06-22 08:00:00,616281.713655219,36.53
2015-06-22 09:00:00,612500.2368535089,36.45
2015-06-22 10:00:00,618983.9281918814,36.45
2015-06-22 11:00:00,623358.465872099,36.5
2015-06-22 12:00:00,608536.2721169431,36.41
2015-06-22 13:00:00,618561.9692975505,36.4
