Stage,n
31.73,0.035
31.66,0.035
31.6,0.035
31.59,0.035
31.54,0.035
31.48,0.035
31.44,0.035
31.33,0.035
31.33,0.035
31.23,0.035
31.21,0.035
31.07,0.035
31.09,0.035
31.05,0.035
30.99,0.035
30.92,0.035
30.85,0.035
30.78,0.035
30.72,0.035
30.65,0.035
30.59,0.035
30.53,0.035
30.47,0.035
30.37,0.035
30.3,0.035
30.22,0.035
30.15,0.035
30.07,0.038
29.99,0.038
29.88,0.038
29.8,0.038
29.72,0.038
29.63,0.038
29.51,0.038
29.45,0.038
29.36,0.038
29.28,0.038
29.2,0.038
29.09,0.038
28.98,0.038
28.92,0.038
28.81,0.038
28.73,0.038
28.63,0.038
28.53,0.038
28.43,0.038
28.3,0.038
28.23,0.038
28.11,0.038
28.01,0.038
27.91,0.038
27.78,0.038
27.7,0.038
27.6,0.038
27.5,0.038
27.4,0.038
27.31,0.038
27.2,0.038
27.14,0.038
27.05,0.038
26.95,0.038
26.87,0.038
26.77,0.038
26.7,0.038
26.63,0.038
26.56,0.038
26.49,0.038
26.38,0.038
26.35,0.038
26.28,0.038
26.24,0.038
26.18,0.038
26.14,0.038
26.12,0.038
26.1,0.038
26.07,0.038
26.05,0.038
26.06,0.038
26.06,0.038
26.05,0.038
26.04,0.038
26.05,0.038
26.1,0.038
26.09,0.038
26.13,0.038
26.17,0.038
26.18,0.038
26.23,0.038
26.24,0.038
26.29,0.038
26.32,0.038
26.31,0.038
26.35,0.038
26.36,0.038
26.4,0.038
26.4,0.038
26.47,0.038
26.5,0.038
26.51,0.038
26.52,0.038
26.52,0.038
26.52,0.038
26.54,0.038
26.55,0.038
26.54,0.038
26.53,0.038
26.54,0.038
26.52,0.038
26.53,0.038
26.52,0.038
26.49,0.038
26.51,0.038
26.51,0.038
26.52,0.038
26.49,0.038
26.51,0.038
26.5,0.038
26.53,0.038
26.52,0.038
26.53,0.038
26.53,0.038
26.52,0.038
26.55,0.038
26.54,0.038
26.54,0.038
26.56,0.038
26.55,0.038
26.59,0.038
26.58,0.038
26.59,0.038
26.6,0.038
26.61,0.038
26.6,0.038
26.62,0.038
26.62,0.038
26.67,0.038
26.65,0.038
26.63,0.038
26.63,0.038
26.66,0.038
26.64,0.038
26.63,0.038
26.61,0.038
26.64,0.038
26.59,0.038
26.6,0.038
26.6,0.038
26.59,0.038
26.59,0.038
26.6,0.038
26.6,0.038
26.6,0.038
26.58,0.038
26.58,0.038
26.59,0.038
26.59,0.038
26.6,0.038
26.57,0.038
26.61,0.038
26.62,0.038
26.6,0.038
26.62,0.038
26.62,0.038
26.59,0.038
26.6,0.038
26.58,0.038
26.55,0.038
26.54,0.038
26.52,0.038
26.48,0.038
26.48,0.038
26.47,0.038
26.42,0.038
26.43,0.038
26.39,0.038
26.4,0.038
26.37,0.038
26.35,0.038
26.31,0.038
26.29,0.038
26.28,0.038
26.25,0.038
26.2,0.038
26.21,0.038
26.17,0.038
26.15,0.038
26.07,0.038
26.05,0.038
26.02,0.038
26,0.038
25.97,0.038
25.88,0.038
25.9,0.038
25.85,0.038
25.81,0.038
25.81,0.038
25.78,0.038
25.76,0.038
25.71,0.038
25.65,0.038
25.65,0.038
25.62,0.038
25.6,0.038
25.55,0.038
25.51,0.038
25.48,0.038
25.42,0.038
25.39,0.038
25.36,0.038
25.32,0.038
25.34,0.038
25.3,0.038
25.26,0.038
25.21,0.038
25.21,0.038
25.18,0.038
25.17,0.038
25.13,0.038
25.1,0.038
25.09,0.038
25.05,0.038
25.03,0.038
24.98,0.038
25,0.038
24.98,0.038
24.95,0.038
24.96,0.038
24.93,0.038
24.91,0.038
24.87,0.038
24.86,0.038
24.83,0.038
24.79,0.038
24.77,0.038
24.72,0.038
24.66,0.038
24.63,0.038
24.57,0.038
24.47,0.038
24.41,0.038
24.33,0.038
24.29,0.038
24.25,0.038
24.23,0.038
24.2,0.038
24.14,0.038
24.11,0.038
24.08,0.038
24.03,0.038
23.97,0.038
23.95,0.038
23.87,0.038
23.81,0.038
23.76,0.038
23.78,0.038
23.75,0.038
23.73,0.038
23.71,0.038
23.66,0.038
23.61,0.038
23.59,0.038
23.56,0.038
23.53,0.038
23.46,0.038
23.44,0.038
23.39,0.038
23.36,0.038
23.34,0.038
23.28,0.038
23.24,0.038
23.21,0.038
